,Date,Listing_ID,Ordered_Quantity,Avg_Num_Of_Listings,Top_Rank_Share,Product_ID,Category_ID,Demand
65552,02/10/2016,12742107,0,5,0.34,fd939df69e6d81de9c3962d8642b4416,166028011,0
65555,02/10/2016,12742107,0,5,0.34,fd939df69e6d81de9c3962d8642b4416,166027011,0
66046,01/10/2016,12742555,0,2,0.34,c33199c4dd183d82bdad0bba2a7de7e6,166028011,0
66047,01/10/2016,12742555,0,2,0.34,c33199c4dd183d82bdad0bba2a7de7e6,166027011,0
66564,02/10/2016,12742555,2,2,0.88,c33199c4dd183d82bdad0bba2a7de7e6,166028011,2.272727273
66565,02/10/2016,12742555,2,2,0.88,c33199c4dd183d82bdad0bba2a7de7e6,166027011,2.272727273
68404,01/10/2016,12745635,0,3,1,7cfd365d4b9e6a44e0236813fc7241f3,6925837011,0
68743,02/10/2016,12745635,0,3,1,7cfd365d4b9e6a44e0236813fc7241f3,6925837011,0
69460,01/10/2016,12750347,0,4.82,0.32,c5eb6f0844b597f31aac039754619170,2519979011,0
69799,02/10/2016,12750347,0,5,0.33,c5eb6f0844b597f31aac039754619170,2519979011,0
70652,01/10/2016,12753659,0,2,1,cc854bbd6f01fab87dfaa668ef1d5d5d,2519979011,0
70984,02/10/2016,12753659,0,2,1,cc854bbd6f01fab87dfaa668ef1d5d5d,2519979011,0
71816,01/10/2016,18950386,0,4,1,b4eca562105da99f75975651d8f9e0f2,166038011,0
71820,01/10/2016,18950386,0,4,1,b4eca562105da99f75975651d8f9e0f2,166164011,0
72092,02/10/2016,18950386,0,4,1,b4eca562105da99f75975651d8f9e0f2,166038011,0
72096,02/10/2016,18950386,0,4,1,b4eca562105da99f75975651d8f9e0f2,166164011,0
73434,01/10/2016,9844530,0,1,1,6b8082eae729df7ecb1f18a2f686ee8a,166070011,0
73435,01/10/2016,9844530,0,1,1,6b8082eae729df7ecb1f18a2f686ee8a,2488744011,0
73956,02/10/2016,9844530,0,1,1,6b8082eae729df7ecb1f18a2f686ee8a,166070011,0
73957,02/10/2016,9844530,0,1,1,6b8082eae729df7ecb1f18a2f686ee8a,2488744011,0
74478,01/10/2016,6222484,0,2,1,c4c7d3e8d5d90cd134dad23019fdad3f,166347011,0
74747,02/10/2016,6222484,0,2,1,c4c7d3e8d5d90cd134dad23019fdad3f,166347011,0
75946,01/10/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,166360011,0
75947,01/10/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,2491829011,0
76442,02/10/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,166360011,0
76443,02/10/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,2491829011,0
78426,01/10/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166225011,0
78428,01/10/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166265011,0
78781,02/10/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166225011,0
78783,02/10/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166265011,0
79140,01/10/2016,3504768,0,2,1,6388da701fb4b33b08be1f7d157eba7b,166461011,0
79142,01/10/2016,3504768,0,2,1,6388da701fb4b33b08be1f7d157eba7b,166337011,0
79636,02/10/2016,3504768,0,2,1,6388da701fb4b33b08be1f7d157eba7b,166461011,0
79638,02/10/2016,3504768,0,2,1,6388da701fb4b33b08be1f7d157eba7b,166337011,0
83554,01/10/2016,10028243,0,5,0.34,8b46d82b40fa2875bb40eb1eb1f1e469,274293011,0
83835,02/10/2016,10028243,0,5,0.38,8b46d82b40fa2875bb40eb1eb1f1e469,274293011,0
84116,01/10/2016,10032075,0,10,0.35,ccbfae861b945ece4a2f7053acf006f1,165994011,0
84455,02/10/2016,10032075,0,10,0.48,ccbfae861b945ece4a2f7053acf006f1,165994011,0
84794,01/10/2016,11820386,0,7,0.31,f33dde41336d53a8774eb626720bcaee,2514571011,0
85044,02/10/2016,11820386,0,7,0.25,f33dde41336d53a8774eb626720bcaee,2514571011,0
87064,01/10/2016,352964,2,10,1,57eb4e811164c4816d89a75bfb79fe8d,166327011,2
87175,02/10/2016,352964,0,10,1,57eb4e811164c4816d89a75bfb79fe8d,166327011,0
87286,01/10/2016,692234,0,20,0.73,0305bbea90f49863f469d9188faa07d4,166310011,0
87298,01/10/2016,692234,0,20,0.73,0305bbea90f49863f469d9188faa07d4,166309011,0
87645,02/10/2016,692234,0,20,0.78,0305bbea90f49863f469d9188faa07d4,166310011,0
87657,02/10/2016,692234,0,20,0.78,0305bbea90f49863f469d9188faa07d4,166309011,0
88004,01/10/2016,3467816,0,17.33,0.36,feb51fa88fcf37cfcd9ee672c1471b6f,166337011,0
88005,01/10/2016,3467816,0,17.33,0.36,feb51fa88fcf37cfcd9ee672c1471b6f,166461011,0
88172,02/10/2016,3467816,0,17,0.39,feb51fa88fcf37cfcd9ee672c1471b6f,166337011,0
88173,02/10/2016,3467816,0,17,0.39,feb51fa88fcf37cfcd9ee672c1471b6f,166461011,0
88342,01/10/2016,9529602,0,6.98,0.28,825fd0c296e1082462b789706cd0426a,166337011,0
88344,01/10/2016,9529602,0,6.98,0.28,825fd0c296e1082462b789706cd0426a,166461011,0
88848,02/10/2016,9529602,0,7,0.2,825fd0c296e1082462b789706cd0426a,166337011,0
88850,02/10/2016,9529602,0,7,0.2,825fd0c296e1082462b789706cd0426a,166461011,0
90532,01/10/2016,12790403,0,2,0.38,3dbd14882779094cc3302b1ae5aac19a,166027011,0
90840,02/10/2016,12790403,0,2,0.41,3dbd14882779094cc3302b1ae5aac19a,166027011,0
93787,01/10/2016,9998746,0,17.29,0.3,360a9b8f9aa509ef555b09304fd631bd,166363011,0
94409,01/10/2016,5965540,0,1,1,e9fb8174ff5546a25daccdaa55bc7c92,1265807011,0
94411,01/10/2016,5965540,0,1,1,e9fb8174ff5546a25daccdaa55bc7c92,166221011,0
94963,01/10/2016,11100546,0,5,0.79,c35994999adb4042b5ddfdba36649bd4,166363011,0
96794,01/10/2016,6376734,0,3,0.42,915adf3b5f5b01c6440c0c67dfd74340,1272924011,0
97791,01/10/2016,7003480,0,1,1,8b22a3d39958f30936d438edc4996abf,166363011,0
99100,01/10/2016,9737306,0,2,0.32,6afe3752d4521a44c4eb6d2a9ba59406,2975303011,0
99101,01/10/2016,9737306,0,2,0.32,6afe3752d4521a44c4eb6d2a9ba59406,2975419011,0
99716,01/10/2016,9754602,0,1,1,6b615bac62e640bd5e81f6b86c833da9,2975414011,0
103593,01/10/2016,12665218,0,1,1,93c89b5cfb444ecdc8c55daa3e5c8ab2,166355011,0
103835,01/10/2016,12665482,0,1,1,3cef7beb6cca98f50d122e0175bead16,166355011,0
105022,01/10/2016,12673058,0,1,1,65bfaec9e767597c6c4f625cb5345765,166355011,0
108302,01/10/2016,12836798,0,3,1,d94c64078944697cc48b083ea9b4a5d1,166355011,0
108880,01/10/2016,12844574,0,2,1,1428d14f75887f3eb6e4a7fa9c0f5183,166355011,0
109122,01/10/2016,12844862,0,3,1,d94c64078944697cc48b083ea9b4a5d1,166355011,0
111122,01/10/2016,13141476,0,1,1,9d828301f512b573ccb87997c2708c50,166355011,0
118625,01/10/2016,14744612,0,2,1,0a4c804346d3d82539e59f9748792112,2488756011,0
118627,01/10/2016,14744612,0,2,1,0a4c804346d3d82539e59f9748792112,166064011,0
118931,01/10/2016,16020296,0,3,1,e012464369e2257a67aea3d0ffe96876,166039011,0
118933,01/10/2016,16020296,0,3,1,e012464369e2257a67aea3d0ffe96876,166356011,0
119429,01/10/2016,13446426,0,2,0.38,957da26bb118dde9b6ed58e34ddacfc2,166337011,0
119432,01/10/2016,13446426,0,2,0.38,957da26bb118dde9b6ed58e34ddacfc2,166461011,0
121693,01/10/2016,14649330,0,4.18,0.2,a63a46f6c1285b42762b71b1de3f979f,355616011,0
121694,01/10/2016,14649330,0,4.18,0.2,a63a46f6c1285b42762b71b1de3f979f,166420011,0
